Vardas          | Pavarde              | Galutinis (Vid.) / Galutinis(Med.) 
Vardas940       | Pavarde940           | 6.32
Vardas168       | Pavarde168           | 7.12
Vardas282       | Pavarde282           | 7.40
Vardas336       | Pavarde336           | 5.68
Vardas377       | Pavarde377           | 5.12
Vardas288       | Pavarde288           | 7.72
Vardas375       | Pavarde375           | 7.52
Vardas177       | Pavarde177           | 5.84
Vardas719       | Pavarde719           | 6.64
Vardas166       | Pavarde166           | 6.92
Vardas312       | Pavarde312           | 6.92
Vardas783       | Pavarde783           | 7.52
Vardas779       | Pavarde779           | 6.20
Vardas13        | Pavarde13            | 6.64
Vardas527       | Pavarde527           | 5.08
Vardas200       | Pavarde200           | 6.68
Vardas379       | Pavarde379           | 9.44
Vardas650       | Pavarde650           | 6.00
Vardas648       | Pavarde648           | 8.32
Vardas979       | Pavarde979           | 6.84
Vardas364       | Pavarde364           | 5.16
Vardas810       | Pavarde810           | 6.84
Vardas18        | Pavarde18            | 5.16
Vardas264       | Pavarde264           | 6.88
Vardas475       | Pavarde475           | 5.64
Vardas853       | Pavarde853           | 6.12
Vardas219       | Pavarde219           | 6.12
Vardas864       | Pavarde864           | 5.04
Vardas239       | Pavarde239           | 8.16
Vardas68        | Pavarde68            | 7.48
Vardas456       | Pavarde456           | 8.16
Vardas732       | Pavarde732           | 5.80
Vardas292       | Pavarde292           | 7.16
Vardas40        | Pavarde40            | 5.96
Vardas952       | Pavarde952           | 5.88
Vardas818       | Pavarde818           | 5.32
Vardas168       | Pavarde168           | 7.24
Vardas834       | Pavarde834           | 7.04
Vardas46        | Pavarde46            | 5.16
Vardas730       | Pavarde730           | 7.84
Vardas748       | Pavarde748           | 6.96
Vardas628       | Pavarde628           | 7.24
Vardas354       | Pavarde354           | 5.84
Vardas637       | Pavarde637           | 5.48
Vardas350       | Pavarde350           | 7.60
Vardas117       | Pavarde117           | 6.16
Vardas417       | Pavarde417           | 7.16
Vardas666       | Pavarde666           | 5.08
Vardas296       | Pavarde296           | 5.88
Vardas672       | Pavarde672           | 6.72
Vardas207       | Pavarde207           | 6.44
Vardas612       | Pavarde612           | 7.12
Vardas398       | Pavarde398           | 8.56
Vardas611       | Pavarde611           | 7.44
Vardas798       | Pavarde798           | 6.72
Vardas65        | Pavarde65            | 7.68
Vardas841       | Pavarde841           | 5.56
Vardas431       | Pavarde431           | 5.48
Vardas978       | Pavarde978           | 5.40
Vardas515       | Pavarde515           | 6.52
Vardas168       | Pavarde168           | 5.88
Vardas375       | Pavarde375           | 6.84
Vardas294       | Pavarde294           | 7.40
Vardas121       | Pavarde121           | 8.32
Vardas145       | Pavarde145           | 6.40
Vardas50        | Pavarde50            | 7.36
Vardas696       | Pavarde696           | 5.04
Vardas566       | Pavarde566           | 7.96
Vardas804       | Pavarde804           | 7.20
Vardas473       | Pavarde473           | 8.36
Vardas701       | Pavarde701           | 5.76
Vardas955       | Pavarde955           | 6.84
Vardas777       | Pavarde777           | 5.56
Vardas909       | Pavarde909           | 6.80
Vardas287       | Pavarde287           | 7.12
Vardas409       | Pavarde409           | 5.84
Vardas900       | Pavarde900           | 7.12
Vardas765       | Pavarde765           | 7.20
Vardas366       | Pavarde366           | 6.80
Vardas97        | Pavarde97            | 7.84
Vardas898       | Pavarde898           | 6.64
Vardas497       | Pavarde497           | 5.96
Vardas311       | Pavarde311           | 8.36
Vardas797       | Pavarde797           | 7.60
Vardas424       | Pavarde424           | 5.36
Vardas983       | Pavarde983           | 7.56
Vardas348       | Pavarde348           | 7.16
Vardas31        | Pavarde31            | 5.56
Vardas58        | Pavarde58            | 5.16
Vardas627       | Pavarde627           | 6.88
Vardas559       | Pavarde559           | 6.80
Vardas327       | Pavarde327           | 8.16
Vardas383       | Pavarde383           | 8.32
Vardas599       | Pavarde599           | 5.48
Vardas203       | Pavarde203           | 5.72
Vardas627       | Pavarde627           | 7.64
Vardas286       | Pavarde286           | 5.40
Vardas796       | Pavarde796           | 6.96
Vardas223       | Pavarde223           | 6.04
Vardas635       | Pavarde635           | 5.04
Vardas249       | Pavarde249           | 8.08
Vardas172       | Pavarde172           | 6.12
Vardas698       | Pavarde698           | 7.48
Vardas323       | Pavarde323           | 6.48
Vardas861       | Pavarde861           | 6.80
Vardas402       | Pavarde402           | 7.20
Vardas273       | Pavarde273           | 8.52
Vardas617       | Pavarde617           | 5.32
Vardas850       | Pavarde850           | 6.76
Vardas83        | Pavarde83            | 7.48
Vardas161       | Pavarde161           | 7.80
Vardas868       | Pavarde868           | 6.96
Vardas80        | Pavarde80            | 6.80
Vardas842       | Pavarde842           | 6.32
Vardas769       | Pavarde769           | 9.44
Vardas322       | Pavarde322           | 5.68
Vardas563       | Pavarde563           | 7.68
Vardas477       | Pavarde477           | 7.04
Vardas998       | Pavarde998           | 6.08
Vardas889       | Pavarde889           | 5.36
