Vardas          | Pavarde              | Galutinis (Vid.) / Galutinis(Med.) 
Vardas413       | Pavarde413           | 3.72
Vardas765       | Pavarde765           | 3.56
Vardas710       | Pavarde710           | 4.96
Vardas693       | Pavarde693           | 4.96
Vardas775       | Pavarde775           | 2.84
Vardas932       | Pavarde932           | 4.68
Vardas261       | Pavarde261           | 3.68
Vardas145       | Pavarde145           | 3.60
Vardas789       | Pavarde789           | 4.92
Vardas506       | Pavarde506           | 3.12
Vardas681       | Pavarde681           | 3.76
Vardas172       | Pavarde172           | 3.40
Vardas854       | Pavarde854           | 3.84
Vardas765       | Pavarde765           | 3.32
Vardas601       | Pavarde601           | 2.92
Vardas285       | Pavarde285           | 4.52
Vardas855       | Pavarde855           | 3.92
Vardas486       | Pavarde486           | 3.52
Vardas998       | Pavarde998           | 4.80
Vardas70        | Pavarde70            | 4.16
Vardas253       | Pavarde253           | 4.24
Vardas473       | Pavarde473           | 4.24
Vardas163       | Pavarde163           | 3.80
Vardas423       | Pavarde423           | 2.28
Vardas668       | Pavarde668           | 4.64
Vardas226       | Pavarde226           | 4.88
Vardas823       | Pavarde823           | 2.48
Vardas29        | Pavarde29            | 4.88
Vardas95        | Pavarde95            | 3.28
Vardas540       | Pavarde540           | 2.88
Vardas338       | Pavarde338           | 4.20
Vardas236       | Pavarde236           | 3.56
Vardas975       | Pavarde975           | 4.04
Vardas519       | Pavarde519           | 4.84
Vardas951       | Pavarde951           | 3.04
Vardas560       | Pavarde560           | 4.68
Vardas82        | Pavarde82            | 4.68
Vardas491       | Pavarde491           | 2.88
Vardas782       | Pavarde782           | 4.64
Vardas110       | Pavarde110           | 2.40
Vardas201       | Pavarde201           | 4.24
Vardas765       | Pavarde765           | 2.48
Vardas686       | Pavarde686           | 2.96
Vardas766       | Pavarde766           | 2.60
Vardas846       | Pavarde846           | 2.76
Vardas192       | Pavarde192           | 4.64
Vardas875       | Pavarde875           | 3.44
Vardas888       | Pavarde888           | 3.80
Vardas683       | Pavarde683           | 3.28
Vardas218       | Pavarde218           | 2.68
Vardas750       | Pavarde750           | 4.08
Vardas792       | Pavarde792           | 3.76
Vardas228       | Pavarde228           | 4.28
Vardas607       | Pavarde607           | 4.24
Vardas906       | Pavarde906           | 2.76
Vardas719       | Pavarde719           | 4.60
Vardas35        | Pavarde35            | 3.04
Vardas590       | Pavarde590           | 4.52
Vardas890       | Pavarde890           | 4.40
Vardas188       | Pavarde188           | 2.36
Vardas47        | Pavarde47            | 4.68
Vardas773       | Pavarde773           | 2.60
Vardas493       | Pavarde493           | 4.48
Vardas7         | Pavarde7             | 3.64
Vardas930       | Pavarde930           | 4.12
Vardas316       | Pavarde316           | 3.00
Vardas874       | Pavarde874           | 4.08
Vardas813       | Pavarde813           | 2.44
Vardas667       | Pavarde667           | 4.36
Vardas156       | Pavarde156           | 4.76
Vardas40        | Pavarde40            | 4.64
Vardas477       | Pavarde477           | 3.16
Vardas326       | Pavarde326           | 4.32
Vardas246       | Pavarde246           | 2.60
Vardas900       | Pavarde900           | 3.44
Vardas79        | Pavarde79            | 2.68
Vardas465       | Pavarde465           | 3.44
Vardas228       | Pavarde228           | 4.88
Vardas385       | Pavarde385           | 2.20
Vardas576       | Pavarde576           | 4.32
Vardas196       | Pavarde196           | 3.32
Vardas396       | Pavarde396           | 4.28
Vardas40        | Pavarde40            | 4.24
Vardas817       | Pavarde817           | 3.76
Vardas322       | Pavarde322           | 2.92
Vardas417       | Pavarde417           | 3.28
Vardas496       | Pavarde496           | 2.52
Vardas508       | Pavarde508           | 3.52
Vardas122       | Pavarde122           | 3.16
Vardas152       | Pavarde152           | 4.72
Vardas750       | Pavarde750           | 3.72
Vardas21        | Pavarde21            | 4.80
Vardas808       | Pavarde808           | 2.44
Vardas687       | Pavarde687           | 4.88
Vardas127       | Pavarde127           | 3.64
Vardas23        | Pavarde23            | 4.40
Vardas491       | Pavarde491           | 4.32
Vardas639       | Pavarde639           | 3.20
Vardas548       | Pavarde548           | 4.48
Vardas652       | Pavarde652           | 4.44
Vardas662       | Pavarde662           | 2.92
Vardas652       | Pavarde652           | 3.56
Vardas446       | Pavarde446           | 3.80
Vardas330       | Pavarde330           | 2.60
Vardas972       | Pavarde972           | 3.56
Vardas704       | Pavarde704           | 3.16
Vardas115       | Pavarde115           | 3.80
Vardas72        | Pavarde72            | 3.60
Vardas506       | Pavarde506           | 4.76
Vardas374       | Pavarde374           | 2.88
Vardas522       | Pavarde522           | 3.68
Vardas625       | Pavarde625           | 2.72
Vardas933       | Pavarde933           | 4.52
Vardas584       | Pavarde584           | 3.80
Vardas588       | Pavarde588           | 3.76
Vardas825       | Pavarde825           | 3.00
Vardas741       | Pavarde741           | 4.44
Vardas662       | Pavarde662           | 3.52
Vardas678       | Pavarde678           | 3.40
Vardas808       | Pavarde808           | 4.56
Vardas25        | Pavarde25            | 3.92
Vardas407       | Pavarde407           | 3.32
Vardas194       | Pavarde194           | 3.88
Vardas774       | Pavarde774           | 2.84
Vardas124       | Pavarde124           | 4.20
Vardas362       | Pavarde362           | 4.84
Vardas999       | Pavarde999           | 4.20
Vardas693       | Pavarde693           | 3.80
Vardas740       | Pavarde740           | 2.76
Vardas587       | Pavarde587           | 4.40
Vardas486       | Pavarde486           | 4.04
Vardas659       | Pavarde659           | 3.36
Vardas806       | Pavarde806           | 3.60
Vardas780       | Pavarde780           | 3.76
Vardas558       | Pavarde558           | 3.32
Vardas595       | Pavarde595           | 4.08
Vardas260       | Pavarde260           | 2.60
Vardas109       | Pavarde109           | 3.00
Vardas457       | Pavarde457           | 2.44
Vardas406       | Pavarde406           | 4.36
Vardas468       | Pavarde468           | 3.56
Vardas430       | Pavarde430           | 3.00
Vardas295       | Pavarde295           | 2.28
Vardas491       | Pavarde491           | 3.12
Vardas20        | Pavarde20            | 2.80
Vardas639       | Pavarde639           | 4.36
Vardas448       | Pavarde448           | 3.80
Vardas41        | Pavarde41            | 3.68
Vardas125       | Pavarde125           | 1.80
Vardas494       | Pavarde494           | 2.76
Vardas899       | Pavarde899           | 3.80
Vardas870       | Pavarde870           | 4.36
Vardas88        | Pavarde88            | 4.44
Vardas172       | Pavarde172           | 2.12
Vardas559       | Pavarde559           | 2.40
Vardas365       | Pavarde365           | 3.44
Vardas222       | Pavarde222           | 4.28
Vardas821       | Pavarde821           | 3.60
Vardas886       | Pavarde886           | 3.36
Vardas128       | Pavarde128           | 4.92
Vardas410       | Pavarde410           | 3.88
Vardas264       | Pavarde264           | 3.56
Vardas896       | Pavarde896           | 4.84
Vardas560       | Pavarde560           | 4.00
Vardas938       | Pavarde938           | 3.40
Vardas133       | Pavarde133           | 4.76
Vardas217       | Pavarde217           | 3.12
Vardas138       | Pavarde138           | 3.60
Vardas422       | Pavarde422           | 2.36
Vardas611       | Pavarde611           | 2.92
Vardas355       | Pavarde355           | 3.60
Vardas337       | Pavarde337           | 4.48
Vardas13        | Pavarde13            | 2.72
Vardas532       | Pavarde532           | 4.40
Vardas559       | Pavarde559           | 4.96
Vardas529       | Pavarde529           | 3.76
Vardas899       | Pavarde899           | 4.52
Vardas98        | Pavarde98            | 3.80
Vardas984       | Pavarde984           | 4.72
Vardas60        | Pavarde60            | 4.92
Vardas274       | Pavarde274           | 4.08
Vardas745       | Pavarde745           | 2.76
Vardas108       | Pavarde108           | 4.96
Vardas155       | Pavarde155           | 4.68
Vardas943       | Pavarde943           | 3.64
Vardas229       | Pavarde229           | 3.56
Vardas511       | Pavarde511           | 4.48
Vardas105       | Pavarde105           | 3.24
Vardas693       | Pavarde693           | 2.72
Vardas908       | Pavarde908           | 4.36
Vardas293       | Pavarde293           | 3.24
Vardas576       | Pavarde576           | 2.92
Vardas458       | Pavarde458           | 4.68
Vardas716       | Pavarde716           | 3.56
Vardas504       | Pavarde504           | 4.20
Vardas905       | Pavarde905           | 4.04
Vardas328       | Pavarde328           | 3.84
Vardas349       | Pavarde349           | 2.76
Vardas782       | Pavarde782           | 3.40
Vardas51        | Pavarde51            | 2.52
Vardas47        | Pavarde47            | 3.20
Vardas140       | Pavarde140           | 3.68
Vardas716       | Pavarde716           | 4.32
Vardas481       | Pavarde481           | 3.84
Vardas418       | Pavarde418           | 3.28
Vardas799       | Pavarde799           | 3.92
Vardas411       | Pavarde411           | 4.08
Vardas192       | Pavarde192           | 3.92
Vardas953       | Pavarde953           | 3.76
Vardas771       | Pavarde771           | 4.84
Vardas741       | Pavarde741           | 4.76
Vardas690       | Pavarde690           | 4.84
Vardas796       | Pavarde796           | 4.28
Vardas772       | Pavarde772           | 2.76
Vardas362       | Pavarde362           | 2.84
Vardas234       | Pavarde234           | 3.32
Vardas677       | Pavarde677           | 4.20
Vardas237       | Pavarde237           | 4.72
Vardas172       | Pavarde172           | 3.56
Vardas262       | Pavarde262           | 3.60
Vardas483       | Pavarde483           | 3.32
Vardas962       | Pavarde962           | 4.04
Vardas616       | Pavarde616           | 4.44
Vardas966       | Pavarde966           | 3.60
Vardas89        | Pavarde89            | 3.08
Vardas454       | Pavarde454           | 3.60
Vardas769       | Pavarde769           | 4.32
Vardas161       | Pavarde161           | 4.80
Vardas758       | Pavarde758           | 4.28
Vardas467       | Pavarde467           | 4.56
Vardas919       | Pavarde919           | 3.32
Vardas561       | Pavarde561           | 3.48
Vardas582       | Pavarde582           | 4.92
Vardas243       | Pavarde243           | 4.84
Vardas178       | Pavarde178           | 4.00
Vardas268       | Pavarde268           | 3.92
