Vardas         Pavarde             ND1  ND2  ND3  ND4  ND5  Egz  
Vardas940      Pavarde940          2    10   8    9    5    6    
Vardas168      Pavarde168          2    1    7    2    2    10   
Vardas282      Pavarde282          9    6    4    2    4    9    
Vardas336      Pavarde336          8    2    7    5    4    6    
Vardas413      Pavarde413          8    1    1    6    8    3    
Vardas377      Pavarde377          8    3    8    9    6    4    
Vardas765      Pavarde765          10   4    3    2    3    3    
Vardas710      Pavarde710          3    9    5    8    7    4    
Vardas288      Pavarde288          9    3    7    5    5    9    
Vardas375      Pavarde375          6    9    7    5    7    8    
Vardas693      Pavarde693          8    10   2    8    4    4    
Vardas177      Pavarde177          5    1    5    7    10   6    
Vardas719      Pavarde719          10   8    2    1    2    8    
Vardas166      Pavarde166          5    6    9    5    9    7    
Vardas775      Pavarde775          1    8    7    7    5    1    
Vardas932      Pavarde932          3    10   6    10   7    3    
Vardas312      Pavarde312          4    8    1    2    4    9    
Vardas783      Pavarde783          5    1    2    1    10   10   
Vardas261      Pavarde261          5    4    1    5    1    4    
Vardas145      Pavarde145          3    3    10   10   4    2    
Vardas779      Pavarde779          1    9    4    4    7    7    
Vardas789      Pavarde789          7    2    6    7    2    5    
Vardas13       Pavarde13           9    2    8    2    2    8    
Vardas527      Pavarde527          2    9    6    1    8    5    
Vardas506      Pavarde506          1    10   6    4    3    2    
Vardas200      Pavarde200          6    8    3    5    9    7    
Vardas379      Pavarde379          10   9    8    7    9    10   
Vardas650      Pavarde650          10   4    1    10   5    6    
Vardas681      Pavarde681          6    8    5    7    6    2    
Vardas648      Pavarde648          10   10   10   9    5    8    
Vardas172      Pavarde172          5    3    3    8    1    3    
Vardas979      Pavarde979          6    1    10   10   6    7    
Vardas854      Pavarde854          5    6    6    8    8    2    
Vardas765      Pavarde765          8    5    10   5    6    1    
Vardas364      Pavarde364          8    5    10   10   9    3    
Vardas601      Pavarde601          6    9    9    1    4    1    
Vardas810      Pavarde810          6    5    8    4    10   7    
Vardas285      Pavarde285          6    9    8    3    8    3    
Vardas18       Pavarde18           4    10   5    3    5    5    
Vardas855      Pavarde855          1    10   8    10   5    2    
Vardas264      Pavarde264          8    3    2    7    6    8    
Vardas486      Pavarde486          6    6    9    6    2    2    
Vardas475      Pavarde475          6    8    9    9    1    5    
Vardas998      Pavarde998          2    7    1    4    1    6    
Vardas853      Pavarde853          7    2    10   2    3    7    
Vardas70       Pavarde70           6    4    2    9    1    4    
Vardas219      Pavarde219          5    10   10   7    7    5    
Vardas253      Pavarde253          6    4    10   1    2    4    
Vardas473      Pavarde473          3    6    5    3    6    4    
Vardas864      Pavarde864          6    5    5    10   7    4    
Vardas163      Pavarde163          7    3    4    5    6    3    
Vardas239      Pavarde239          8    2    2    10   5    10   
Vardas68       Pavarde68           9    1    4    6    6    9    
Vardas456      Pavarde456          3    7    7    2    8    10   
Vardas423      Pavarde423          6    3    2    4    6    1    
Vardas732      Pavarde732          10   4    7    8    6    5    
Vardas668      Pavarde668          2    5    9    2    10   4    
Vardas226      Pavarde226          6    10   4    5    6    4    
Vardas823      Pavarde823          4    1    5    2    4    2    
Vardas292      Pavarde292          9    8    7    3    10   7    
Vardas29       Pavarde29           8    7    4    8    4    4    
Vardas95       Pavarde95           5    3    1    8    9    2    
Vardas40       Pavarde40           10   5    1    2    4    7    
Vardas952      Pavarde952          3    3    7    5    3    7    
Vardas818      Pavarde818          10   5    8    5    1    5    
Vardas168      Pavarde168          1    1    10   1    10   9    
Vardas540      Pavarde540          2    7    4    6    2    2    
Vardas338      Pavarde338          8    9    3    2    8    3    
Vardas236      Pavarde236          10   10   1    6    10   1    
Vardas975      Pavarde975          4    8    6    3    7    3    
Vardas519      Pavarde519          5    6    2    5    5    5    
Vardas951      Pavarde951          2    9    4    2    6    2    
Vardas560      Pavarde560          4    3    8    4    2    5    
Vardas82       Pavarde82           4    6    2    6    3    5    
Vardas491      Pavarde491          7    1    5    3    5    2    
Vardas834      Pavarde834          8    1    1    8    10   8    
Vardas46       Pavarde46           4    10   3    6    4    5    
Vardas730      Pavarde730          2    9    3    8    1    10   
Vardas782      Pavarde782          4    10   9    2    3    4    
Vardas748      Pavarde748          4    10   2    4    7    8    
Vardas110      Pavarde110          5    3    3    1    3    2    
Vardas628      Pavarde628          4    3    9    6    1    9    
Vardas354      Pavarde354          3    2    6    1    1    8    
Vardas201      Pavarde201          9    2    1    4    7    4    
Vardas637      Pavarde637          7    2    5    10   7    5    
Vardas350      Pavarde350          2    3    6    5    4    10   
Vardas765      Pavarde765          5    2    5    3    1    2    
Vardas117      Pavarde117          8    10   5    3    6    6    
Vardas417      Pavarde417          9    2    10   10   6    7    
Vardas686      Pavarde686          10   5    3    2    2    2    
Vardas666      Pavarde666          7    1    7    4    7    5    
Vardas296      Pavarde296          10   2    5    10   9    5    
Vardas672      Pavarde672          2    3    9    7    3    8    
Vardas766      Pavarde766          2    5    9    2    7    1    
Vardas207      Pavarde207          7    8    1    4    8    7    
Vardas846      Pavarde846          8    4    3    4    8    1    
Vardas192      Pavarde192          3    3    6    7    9    4    
Vardas875      Pavarde875          6    6    6    8    2    2    
Vardas888      Pavarde888          5    2    3    6    9    3    
Vardas683      Pavarde683          4    2    7    10   3    2    
Vardas218      Pavarde218          6    9    5    3    3    1    
Vardas750      Pavarde750          3    2    7    2    7    4    
Vardas612      Pavarde612          9    1    5    7    7    8    
Vardas398      Pavarde398          10   5    6    1    10   10   
Vardas792      Pavarde792          6    1    4    5    1    4    
Vardas611      Pavarde611          3    9    3    9    9    8    
Vardas798      Pavarde798          10   9    3    8    9    6    
Vardas228      Pavarde228          5    9    3    9    5    3    
Vardas65       Pavarde65           8    2    5    3    3    10   
Vardas841      Pavarde841          10   9    4    7    2    5    
Vardas607      Pavarde607          7    2    4    1    9    4    
Vardas431      Pavarde431          8    1    5    7    10   5    
